 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  183       22595    3.975018e+00     8.882e-16     1.000e+00     2.346e-01     4.514e+01  
  184       22716    3.972380e+00     8.882e-16     1.000e+00     1.264e-01     2.241e+01  
  185       22837    3.968951e+00     8.743e-16     1.000e+00     1.390e-01     1.434e+01  
  186       22958    3.965162e+00     8.882e-16     1.000e+00     2.683e-01     2.188e+01  
  187       23079    3.962061e+00     6.661e-16     1.000e+00     2.199e-01     2.154e+01  
  188       23200    3.957732e+00     6.800e-16     1.000e+00     2.854e-01     2.547e+01  
  189       23321    3.952710e+00     4.441e-16     1.000e+00     3.830e-01     1.704e+01  
  190       23442    3.948957e+00     6.661e-16     1.000e+00     3.231e-01     3.201e+01  
  191       23563    3.946027e+00     8.882e-16     1.000e+00     1.351e-01     2.517e+01  
  192       23684    3.942663e+00     8.882e-16     1.000e+00     1.509e-01     1.451e+01  
  193       23805    3.941138e+00     8.882e-16     1.000e+00     8.664e-02     1.378e+01  
  194       23926    3.939754e+00     1.110e-15     1.000e+00     7.659e-02     1.991e+01  
  195       24047    3.936916e+00     1.096e-15     1.000e+00     1.938e-01     2.783e+01  
  196       24168    3.933497e+00     1.110e-15     1.000e+00     2.231e-01     2.580e+01  
  197       24289    3.929575e+00     8.882e-16     1.000e+00     2.249e-01     2.035e+01  
  198       24410    3.925436e+00     8.882e-16     1.000e+00     1.670e-01     2.161e+01  
  199       24531    3.922757e+00     6.661e-16     1.000e+00     1.001e-01     1.930e+01  
  200       24652    3.920248e+00     8.882e-16     1.000e+00     1.123e-01     1.388e+01  
  201       24773    3.918463e+00     8.882e-16     1.000e+00     9.341e-02     1.596e+01  
  202       24894    3.916921e+00     1.332e-15     1.000e+00     8.953e-02     2.490e+01  
  203       25015    3.915074e+00     8.882e-16     1.000e+00     1.231e-01     2.921e+01  
  204       25136    3.913393e+00     6.661e-16     1.000e+00     1.446e-01     3.000e+01  
  205       25257    3.911946e+00     4.441e-16     1.000e+00     1.388e-01     1.512e+01  
  206       25378    3.910532e+00     1.332e-15     1.000e+00     1.536e-01     7.087e+00  
  207       25499    3.909141e+00     1.110e-15     1.000e+00     1.228e-01     1.114e+01  
  208       25620    3.907863e+00     6.661e-16     1.000e+00     9.079e-02     1.018e+01  
  209       25741    3.907113e+00     6.661e-16     1.000e+00     7.492e-02     8.695e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  210       25862    3.906694e+00     8.882e-16     1.000e+00     3.472e-02     1.320e+01  
  211       25983    3.906285e+00     1.110e-15     1.000e+00     3.962e-02     1.747e+01  
  212       26104    3.905884e+00     8.882e-16     1.000e+00     4.339e-02     1.739e+01  
  213       26225    3.905415e+00     6.800e-16     1.000e+00     5.205e-02     1.452e+01  
  214       26346    3.904753e+00     8.882e-16     1.000e+00     8.310e-02     7.510e+00  
  215       26467    3.903918e+00     8.882e-16     1.000e+00     1.074e-01     3.491e+00  
  216       26588    3.903138e+00     6.661e-16     1.000e+00     1.139e-01     4.014e+00  
  217       26709    3.902640e+00     6.661e-16     1.000e+00     6.178e-02     5.389e+00  
  218       26830    3.902211e+00     6.661e-16     1.000e+00     7.917e-02     7.343e+00  
  219       26951    3.901811e+00     6.661e-16     1.000e+00     7.365e-02     9.291e+00  
  220       27072    3.901041e+00     1.332e-15     1.000e+00     1.424e-01     6.560e+00  
  221       27193    3.899966e+00     1.110e-15     1.000e+00     2.049e-01     5.022e+00  
  222       27314    3.898396e+00     1.332e-15     1.000e+00     2.647e-01     1.001e+01  
  223       27435    3.897258e+00     4.441e-16     1.000e+00     5.859e-02     1.011e+01  
  224       27556    3.896288e+00     4.441e-16     1.000e+00     7.538e-02     5.649e+00  
  225       27677    3.895962e+00     6.661e-16     1.000e+00     3.030e-02     6.931e+00  
